Symbol,Action,# Shares,£ Price Per Share,Price Per Share,£ Gross Value,£ Commissions,Commissions,£ Net Value,Date ,Account Type
VHYL,Buy,63.00,47.49,,2992.12,,,"2,992.12",2023-05-15,Vanguard Giuseppe
VUSA,Buy,95.00,62.57,,5944.60,,,"5,944.60",2023-05-15,Vanguard Giuseppe
VGSGSAG,Buy,0.18,348.94,,62.81,,,62.81,2023-05-31,Vanguard Giuseppe
VGSGSAG,Buy,0.14,349.25,,48.90,,,48.90,2023-06-01,Vanguard Giuseppe
VUSA,Buy,9.00,64.60,,581.36,,,581.36,2023-06-01,Vanguard Giuseppe
VEUR,Buy,16.00,31.18,,498.91,,,498.91,2023-06-01,Vanguard Giuseppe
VHYL,Buy,10.00,47.12,,471.23,,,471.23,2023-06-01,Vanguard Giuseppe
VGSGSAG,Buy,0.13,357.70,,46.50,,,46.50,2023-06-28,Vanguard Giuseppe
VHYL,Buy,18.00,46.27,,832.86,,,832.86,2023-06-29,Vanguard Giuseppe
VEUR,Buy,33.00,29.97,,988.86,,,988.86,2023-06-29,Vanguard Giuseppe
VHYL,Buy,15.00,46.27,,694.11,,,694.11,2023-07-19,Vanguard Giuseppe
VGSGSAG,Buy,0.23,368.01,,84.64,,,84.64,2023-07-31,Vanguard Giuseppe
VUSA,Buy,7.00,67.05,,469.36,,,469.36,2023-07-31,Vanguard Giuseppe
VHYL,Buy,10.00,47.99,,479.88,,,479.88,2023-07-31,Vanguard Giuseppe
VEUR,Buy,32.00,31.18,,997.60,,,997.60,2023-07-31,Vanguard Giuseppe
VGSGSAG,Buy,0.26,363.90,,94.61,,,94.61,2023-08-31,Vanguard Giuseppe
VUSA,Buy,7.00,66.75,,467.22,,,467.22,2023-08-31,Vanguard Giuseppe
VHYL,Buy,10.00,47.36,,473.60,,,473.60,2023-08-31,Vanguard Giuseppe
VFEM,Buy,11.00,43.57,,479.24,,,479.24,2023-08-31,Vanguard Giuseppe
VEUR,Buy,16.00,30.44,,487.10,,,487.10,2023-08-31,Vanguard Giuseppe
VGSGSAG,Buy,0.04,345.24,,13.81,,,13.81,2023-10-27,Vanguard Giuseppe
VHYL,Buy,9.00,46.42,,417.74,,,417.74,2023-10-30,Vanguard Giuseppe
VHYL,Buy,7.00,49.16,,344.11,,,344.11,2024-01-10,Vanguard Giuseppe
VGSGSAG,Buy,0.02,388.04,,7.76,,,7.76,2024-01-11,Vanguard Giuseppe
VGSGSAG,Buy,2.99,417.93,,"1,249.61",,,"1,249.61",2024-04-10,Vanguard Giuseppe
VFEM,Buy,65.00,45.75,,"2,973.80",,,"2,973.80",2024-04-10,Vanguard Giuseppe
VHYL,Buy,76.00,52.12,,"3,961.27",,,"3,961.27",2024-04-10,Vanguard Giuseppe
VEUR,Buy,147.00,33.86,,"4,977.35",,,"4,977.35",2024-04-10,Vanguard Giuseppe
VUSA,Buy,92.00,78.22,,"7,196.07",,,"7,196.07",2024-04-10,Vanguard Giuseppe
VGSGSAG,Buy,0.18,421.50,,75.87,,,75.87,2024-08-02,Vanguard Giuseppe
VHYL,Buy,10.00,52.96,,529.57,,,529.57,2024-08-02,Vanguard Giuseppe
VFEM,Buy,10.00,46.89,,468.94,,,468.94,2024-08-02,Vanguard Giuseppe
VGSGSAG,Buy,0.15,450.69,,67.60,,,67.60,2024-10-18,Vanguard Giuseppe
VUSA,Buy,2.00,85.69,,171.37,,,171.37,2024-10-21,Vanguard Giuseppe
VEUR,Buy,8.00,33.78,,270.24,,,270.24,2024-10-21,Vanguard Giuseppe
VUSA,Buy,5.00,93.16,,465.78,,,465.78,2025-02-04,Vanguard Giuseppe
VUSA,Buy,6.00,77.33,,463.95,,,463.95,2025-04-10,Vanguard Giuseppe
VGSGSAG,Buy,0.14,414.44,,58.02,,,58.02,2025-04-11,Vanguard Giuseppe
VGSGSAG,Buy,0.11,483.96,,53.24,,,53.24,2025-07-29,Vanguard Giuseppe
VEUR,Buy,54.00,37.19,,"2,008.15",,,"2,008.15",2025-07-30,Vanguard Giuseppe
VHYL,Buy,17.00,56.58,,961.81,,,961.81,2025-07-30,Vanguard Giuseppe
VGSGSAG,Buy,0.19,481.02,,91.39,,,91.39,2025-08-05,Vanguard Giuseppe
VEUR,Buy,21.00,35.95,,755.00,,,755.00,2025-08-05,Vanguard Giuseppe
VUSA,Buy,11.00,89.49,,984.43,,,984.43,2025-08-05,Vanguard Giuseppe
VHYL,Buy,17.00,55.64,,945.82,,,945.82,2025-08-05,Vanguard Giuseppe
VGSGSAG,Buy,0.39,490.72,,191.38,,,191.38,2025-08-28,Vanguard Giuseppe
VFEM,Buy,5.00,52.44,,262.18,,,262.18,2025-08-29,Vanguard Giuseppe
VEUR,Buy,27.00,37.02,,999.65,,,999.65,2025-08-29,Vanguard Giuseppe
VUSA,Buy,10.00,91.28,,912.83,,,912.83,2025-08-29,Vanguard Giuseppe
VHYL,Buy,34.00,57.31,,"1,948.52",,,"1,948.52",2025-08-29,Vanguard Giuseppe
VHYL,Buy,65.00,57.43,,"3,732.95",,,"3,732.95",2025-09-02,Vanguard Giuseppe
VGSGSAG,Buy,0.21,506.05,,106.27,,,106.27,2025-10-01,Vanguard Giuseppe
VHYL,Buy,19.00,58.12,,"1,104.27",,,"1,104.27",2025-10-01,Vanguard Giuseppe
VUSA,Buy,10.00,94.12,,941.17,,,941.17,2025-10-01,Vanguard Giuseppe
VEUR,Buy,26.00,37.51,,975.22,,,975.22,2025-10-01,Vanguard Giuseppe
VGSGSAG,Buy,0.19,510.37,,96.97,,,96.97,2025-10-02,Vanguard Giuseppe
VHYL,Buy,32.00,58.08,,"1,858.60",,,"1,858.60",2025-10-03,Vanguard Giuseppe
VEUR,Buy,26.00,37.77,,982.12,,,982.12,2025-10-03,Vanguard Giuseppe
VUSA,Buy,10.00,93.54,,935.40,,,935.40,2025-10-03,Vanguard Giuseppe
VFEM,Buy,7.00,55.94,,391.56,,,391.56,2025-10-07,Vanguard Giuseppe
VGSGSAG,Buy,0.18,520.30,,93.65,,,93.65,2025-10-24,Vanguard Giuseppe
VUSA,Buy,4.00,95.18,,380.70,,,380.70,2025-10-27,Vanguard Giuseppe
VHYL,Buy,9.00,62.19,,559.71,,,559.71,2026-01-14,Vanguard Giuseppe
VGSGSAG,Buy,0.05,534.07,,26.70,,,26.70,2026-01-15,Vanguard Giuseppe
